image num 1,perceptron_out = 5.84459
image num 2,perceptron_out = 8.86708
image num 3,perceptron_out = 4.04556
image num 4,perceptron_out = 8.26466
image num 5,perceptron_out = 2.88714
image num 6,perceptron_out = 6.73624
image num 7,perceptron_out = 6.62925
image num 8,perceptron_out = 8.65702
image num 9,perceptron_out = 13.4873
image num 10,perceptron_out = 8.63793
image num 11,perceptron_out = 11.8493
image num 12,perceptron_out = 9.68751
image num 13,perceptron_out = 11.1549
image num 14,perceptron_out = 13.9584
image num 15,perceptron_out = 8.0526
image num 16,perceptron_out = 5.12752
image num 17,perceptron_out = 4.23968
image num 18,perceptron_out = 7.38835
image num 19,perceptron_out = 10.9572
image num 20,perceptron_out = 5.03613
image num 21,perceptron_out = 3.24385
image num 22,perceptron_out = 10.3449
image num 23,perceptron_out = 16.2167
image num 24,perceptron_out = 8.08901
image num 25,perceptron_out = 4.97276
image num 26,perceptron_out = 9.41035
image num 27,perceptron_out = 4.68924
image num 28,perceptron_out = 13.6791
image num 29,perceptron_out = 6.9525
image num 30,perceptron_out = 8.76803
image num 31,perceptron_out = 9.05255
image num 32,perceptron_out = 14.055
image num 33,perceptron_out = 8.99125
image num 34,perceptron_out = 8.43629
image num 35,perceptron_out = 7.26086
image num 36,perceptron_out = 5.50041
image num 37,perceptron_out = 7.72151
image num 38,perceptron_out = 10.2549
image num 39,perceptron_out = 6.80892
image num 40,perceptron_out = 6.58409
image num 41,perceptron_out = 6.69008
image num 42,perceptron_out = 17.1435
image num 43,perceptron_out = 11.0072
image num 44,perceptron_out = 10.6935
image num 45,perceptron_out = 10.2877
image num 46,perceptron_out = 4.66362
image num 47,perceptron_out = 11.3309
image num 48,perceptron_out = 5.82428
image num 49,perceptron_out = 7.56514
image num 50,perceptron_out = 9.02149
image num 51,perceptron_out = 4.42301
image num 52,perceptron_out = 4.54408
image num 53,perceptron_out = 6.68675
image num 54,perceptron_out = 8.15369
image num 55,perceptron_out = 3.99195
image num 56,perceptron_out = 4.75239
image num 57,perceptron_out = 22.5342
image num 58,perceptron_out = 13.0454
image num 59,perceptron_out = 9.84032
image num 60,perceptron_out = 10.2786
image num 61,perceptron_out = 16.8497
image num 62,perceptron_out = 8.95736
image num 63,perceptron_out = 18.4659
image num 64,perceptron_out = 4.80734
image num 65,perceptron_out = 6.45681
image num 66,perceptron_out = 5.65959
image num 67,perceptron_out = 5.97789
image num 68,perceptron_out = 5.77197
