image num 1,perceptron_out = 6.45483
image num 2,perceptron_out = 12.1112
image num 3,perceptron_out = 3.99063
image num 4,perceptron_out = 8.45553
image num 5,perceptron_out = 28.6857
image num 6,perceptron_out = 7.23702
image num 7,perceptron_out = 10.2384
image num 8,perceptron_out = 17.9956
image num 9,perceptron_out = 9.74445
image num 10,perceptron_out = 4.54587
image num 11,perceptron_out = 10.2619
image num 12,perceptron_out = 6.98586
image num 13,perceptron_out = 12.1169
image num 14,perceptron_out = 4.025
image num 15,perceptron_out = 8.43185
image num 16,perceptron_out = 6.11709
image num 17,perceptron_out = 3.71821
image num 18,perceptron_out = 6.67167
image num 19,perceptron_out = 8.38388
image num 20,perceptron_out = 8.8819
image num 21,perceptron_out = 5.35362
image num 22,perceptron_out = 4.0098
image num 23,perceptron_out = 12.9645
image num 24,perceptron_out = 8.52817
image num 25,perceptron_out = 5.46869
image num 26,perceptron_out = 5.42976
image num 27,perceptron_out = 9.60787
image num 28,perceptron_out = 4.54286
image num 29,perceptron_out = 9.22251
image num 30,perceptron_out = 4.1812
image num 31,perceptron_out = 13.3056
image num 32,perceptron_out = 10.021
image num 33,perceptron_out = 13.0064
image num 34,perceptron_out = 9.13482
image num 35,perceptron_out = 13.3381
image num 36,perceptron_out = 5.42955
image num 37,perceptron_out = 8.76018
image num 38,perceptron_out = 6.53662
image num 39,perceptron_out = 2.84164
image num 40,perceptron_out = 7.09131
image num 41,perceptron_out = 7.46128
image num 42,perceptron_out = 8.30833
image num 43,perceptron_out = 8.51114
image num 44,perceptron_out = 20.1539
image num 45,perceptron_out = 15.2175
image num 46,perceptron_out = 24.7656
image num 47,perceptron_out = 12.9575
image num 48,perceptron_out = 5.56153
image num 49,perceptron_out = 7.82136
image num 50,perceptron_out = 6.38034
image num 51,perceptron_out = 9.23877
image num 52,perceptron_out = 7.72152
image num 53,perceptron_out = 10.0296
image num 54,perceptron_out = 8.17509
image num 55,perceptron_out = 8.1383
image num 56,perceptron_out = 8.49641
image num 57,perceptron_out = 4.84424
image num 58,perceptron_out = 6.6027
image num 59,perceptron_out = 4.88917
image num 60,perceptron_out = 6.25406
image num 61,perceptron_out = 17.2768
image num 62,perceptron_out = 16.4099
image num 63,perceptron_out = 13.1725
image num 64,perceptron_out = 7.36993
image num 65,perceptron_out = 10.9451
image num 66,perceptron_out = 21.3575
image num 67,perceptron_out = 11.8943
image num 68,perceptron_out = 9.70274
image num 69,perceptron_out = 12.5837
image num 70,perceptron_out = 11.4726
image num 71,perceptron_out = 4.62682
image num 72,perceptron_out = 4.51849
image num 73,perceptron_out = 9.34773
image num 74,perceptron_out = 7.57423
image num 75,perceptron_out = 5.44565
image num 76,perceptron_out = 4.27509
image num 77,perceptron_out = 14.0596
image num 78,perceptron_out = 5.72236
image num 79,perceptron_out = 5.01577
image num 80,perceptron_out = 22.8408
image num 81,perceptron_out = 4.97849
image num 82,perceptron_out = 5.32926
image num 83,perceptron_out = 9.9099
image num 84,perceptron_out = 6.05742
image num 85,perceptron_out = 5.77078
image num 86,perceptron_out = 6.52681
image num 87,perceptron_out = 14.6421
image num 88,perceptron_out = 18.9712
image num 89,perceptron_out = 13.779
image num 90,perceptron_out = 4.43331
image num 91,perceptron_out = 3.9767
image num 92,perceptron_out = 8.10174
image num 93,perceptron_out = 6.14833
image num 94,perceptron_out = 8.80165
image num 95,perceptron_out = 14.7237
image num 96,perceptron_out = 12.592
image num 97,perceptron_out = 14.6855
image num 98,perceptron_out = 4.68149
image num 99,perceptron_out = 7.26315
image num 100,perceptron_out = 12.7326
image num 101,perceptron_out = 6.45291
image num 102,perceptron_out = 7.90416
image num 103,perceptron_out = 10.2641
image num 104,perceptron_out = 8.12849
image num 105,perceptron_out = 8.81137
image num 106,perceptron_out = 23.6624
image num 107,perceptron_out = 9.10371
image num 108,perceptron_out = 7.49275
image num 109,perceptron_out = 6.97649
image num 110,perceptron_out = 13.818
image num 111,perceptron_out = 15.1845
image num 112,perceptron_out = 7.88679
image num 113,perceptron_out = 22.8766
image num 114,perceptron_out = 4.36317
image num 115,perceptron_out = 8.66646
image num 116,perceptron_out = 7.28558
image num 117,perceptron_out = 5.59395
image num 118,perceptron_out = 11.8764
image num 119,perceptron_out = 12.5719
image num 120,perceptron_out = 14.6691
image num 121,perceptron_out = 9.36385
image num 122,perceptron_out = 5.45132
image num 123,perceptron_out = 7.60769
image num 124,perceptron_out = 4.85856
image num 125,perceptron_out = 11.8823
image num 126,perceptron_out = 10.9217
image num 127,perceptron_out = 16.9709
image num 128,perceptron_out = 6.65664
image num 129,perceptron_out = 5.43579
image num 130,perceptron_out = 8.54925
image num 131,perceptron_out = 9.29058
image num 132,perceptron_out = 4.53593
image num 133,perceptron_out = 10.3812
image num 134,perceptron_out = 9.4802
image num 135,perceptron_out = 14.4268
image num 136,perceptron_out = 10.4667
image num 137,perceptron_out = 35.0233
image num 138,perceptron_out = 17.2961
image num 139,perceptron_out = 6.49961
image num 140,perceptron_out = 9.82301
image num 141,perceptron_out = 10.6829
image num 142,perceptron_out = 8.2356
image num 143,perceptron_out = 5.46704
image num 144,perceptron_out = 12.2915
image num 145,perceptron_out = 8.20813
image num 146,perceptron_out = 9.08465
image num 147,perceptron_out = 11.6189
image num 148,perceptron_out = 7.5255
image num 149,perceptron_out = 5.50693
image num 150,perceptron_out = 11.9031
image num 151,perceptron_out = 7.6966
image num 152,perceptron_out = 4.18338
image num 153,perceptron_out = 9.65792
image num 154,perceptron_out = 8.39679
image num 155,perceptron_out = 5.64556
image num 156,perceptron_out = 11.6365
image num 157,perceptron_out = 6.53937
image num 158,perceptron_out = 7.95344
image num 159,perceptron_out = 7.01143
image num 160,perceptron_out = 4.65753
image num 161,perceptron_out = 14.2826
